"Date","City","count"
2021-08-31,"横浜市",541
2021-08-31,"市外(県内)",12
2021-08-31,"市外(県外)",1
2021-08-31,"市外(都内)",5
2021-08-30,"横浜市",838
2021-08-30,"市外(県内)",28
2021-08-30,"市外(県外)",2
2021-08-30,"市外(都内)",10
2021-08-29,"横浜市",909
2021-08-29,"市外(県内)",11
2021-08-29,"市外(県外)",2
2021-08-29,"市外(都内)",6
2021-08-28,"横浜市",942
2021-08-28,"市外(県内)",26
2021-08-28,"市外(県外)",0
2021-08-28,"市外(都内)",5
2021-08-27,"横浜市",1133
2021-08-27,"市外(県内)",22
2021-08-27,"市外(県外)",1
2021-08-27,"市外(都内)",9
2021-08-26,"横浜市",898
2021-08-26,"市外(県内)",28
2021-08-26,"市外(県外)",3
2021-08-26,"市外(都内)",7
2021-08-25,"横浜市",850
2021-08-25,"市外(県内)",29
2021-08-25,"市外(県外)",2
2021-08-25,"市外(都内)",5
2021-09-30,"横浜市",48
2021-09-30,"市外(県内)",5
2021-09-30,"市外(県外)",0
2021-09-30,"市外(都内)",1
2021-09-29,"横浜市",29
2021-09-29,"市外(県内)",0
2021-09-29,"市外(県外)",0
2021-09-29,"市外(都内)",1
2021-09-28,"横浜市",37
2021-09-28,"市外(県内)",1
2021-09-28,"市外(県外)",0
2021-09-28,"市外(都内)",0
2021-09-27,"横浜市",64
2021-09-27,"市外(県内)",8
2021-09-27,"市外(県外)",0
2021-09-27,"市外(都内)",0
2021-09-26,"横浜市",58
2021-09-26,"市外(県内)",4
2021-09-26,"市外(県外)",1
2021-09-26,"市外(都内)",0
2021-09-25,"横浜市",69
2021-09-25,"市外(県内)",6
2021-09-25,"市外(県外)",1
2021-09-25,"市外(都内)",0
2021-09-23,"横浜市",52
2021-09-23,"市外(県内)",3
2021-09-23,"市外(県外)",1
2021-09-23,"市外(都内)",0
2021-09-22,"横浜市",38
2021-09-22,"市外(県内)",3
2021-09-22,"市外(県外)",1
2021-09-22,"市外(都内)",1
2021-09-21,"横浜市",80
2021-09-21,"市外(県内)",4
2021-09-21,"市外(県外)",0
2021-09-21,"市外(都内)",1
2021-09-20,"横浜市",146
2021-09-20,"市外(県内)",3
2021-09-20,"市外(県外)",1
2021-09-20,"市外(都内)",0
2021-09-19,"横浜市",169
2021-09-19,"市外(県内)",5
2021-09-19,"市外(県外)",1
2021-09-19,"市外(都内)",1
2021-09-18,"横浜市",182
2021-09-18,"市外(県内)",3
2021-09-18,"市外(県外)",0
2021-09-18,"市外(都内)",0
2021-09-17,"横浜市",218
2021-09-17,"市外(県内)",5
2021-09-17,"市外(県外)",1
2021-09-17,"市外(都内)",3
2021-09-16,"横浜市",193
2021-09-16,"市外(県内)",3
2021-09-16,"市外(県外)",2
2021-09-16,"市外(都内)",2
2021-09-15,"横浜市",155
2021-09-15,"市外(県内)",9
2021-09-15,"市外(県外)",1
2021-09-15,"市外(都内)",0
2021-09-14,"横浜市",186
2021-09-14,"市外(県内)",4
2021-09-14,"市外(県外)",1
2021-09-14,"市外(都内)",0
2021-09-13,"横浜市",262
2021-09-13,"市外(県内)",4
2021-09-13,"市外(県外)",4
2021-09-13,"市外(都内)",1
2021-09-12,"横浜市",244
2021-09-12,"市外(県内)",4
2021-09-12,"市外(県外)",5
2021-09-12,"市外(都内)",3
2021-09-11,"横浜市",330
2021-09-11,"市外(県内)",4
2021-09-11,"市外(県外)",2
2021-09-11,"市外(都内)",2
2021-09-10,"横浜市",352
2021-09-10,"市外(県内)",7
2021-09-10,"市外(県外)",1
2021-09-10,"市外(都内)",1
2021-09-09,"横浜市",293
2021-09-09,"市外(県内)",15
2021-09-09,"市外(県外)",1
2021-09-09,"市外(都内)",2
2021-09-08,"横浜市",369
2021-09-08,"市外(県内)",4
2021-09-08,"市外(県外)",2
2021-09-08,"市外(都内)",1
2021-09-07,"横浜市",219
2021-09-07,"市外(県内)",8
2021-09-07,"市外(県外)",1
2021-09-07,"市外(都内)",5
2021-09-06,"横浜市",472
2021-09-06,"市外(県内)",9
2021-09-06,"市外(県外)",2
2021-09-06,"市外(都内)",3
2021-09-05,"横浜市",569
2021-09-05,"市外(県内)",15
2021-09-05,"市外(県外)",4
2021-09-05,"市外(都内)",2
2021-09-04,"横浜市",725
2021-09-04,"市外(県内)",14
2021-09-04,"市外(県外)",0
2021-09-04,"市外(都内)",4
2021-09-03,"横浜市",823
2021-09-03,"市外(県内)",14
2021-09-03,"市外(県外)",1
2021-09-03,"市外(都内)",7
2021-09-02,"横浜市",603
2021-09-02,"市外(県内)",20
2021-09-02,"市外(県外)",3
2021-09-02,"市外(都内)",6
2021-09-01,"横浜市",678
2021-09-01,"市外(県内)",22
2021-09-01,"市外(県外)",1
2021-09-01,"市外(都内)",5
2021-10-01,"横浜市",53
2021-10-01,"市外(県内)",1
2021-10-01,"市外(県外)",0
2021-10-01,"市外(都内)",0
